Cost,Duration,NPV,LCOE
7831.68321768,5.84149234079,1865.23907799,5.30704710781
10378.358896,6.10457435797,-527.779610593,6.48945891598
8996.63828471,5.89105811477,770.573090305,5.847931304
8206.90600039,5.87405697043,1512.65584996,5.48126161527
10067.9388197,6.02849265984,-236.089133366,6.34533205803
19238.1031843,6.26524095319,-8852.9597025,10.603004411
8334.57571975,5.65189819265,1392.68924919,5.54053817923
19727.7915311,5.85546326836,-9313.10206584,10.8303648434
20642.2163636,5.96681964878,-10172.3538867,11.2549288069
11224.1550787,5.94328998414,-1322.5435804,6.88215885899
11661.5750903,5.7343579569,-1733.57128661,7.0852513027
8542.49778351,5.67533738146,1197.31243362,5.63707560072
15242.9807351,6.01436246872,-5098.88816313,8.74808428936
9537.50799829,6.07336003299,262.337454458,6.09905504993
13931.6069969,6.19816551345,-3866.63786521,8.13921846234
11699.9187947,6.10610211163,-1769.60147368,7.10305413844
15229.7239076,5.78087713679,-5086.43120355,8.74192919489
9887.39760651,6.102229014,-66.4411091132,6.26150746106
8907.20055727,5.94720748713,854.614476121,5.80640570813
12468.9504656,5.78343275025,-2492.23261836,7.46011261128
16699.3542308,6.08023602962,-6467.3894695,9.42427295094
10718.3922447,6.14293575302,-847.296604809,6.64733510336
11708.6588971,5.77629783041,-1777.81423068,7.10711213469
17014.3594668,6.2259285501,-6763.38845481,9.57052868103
11878.7398261,5.69270168138,-1937.63310553,7.18608006156
10500.2212616,5.95241145881,-642.289251774,6.54603914769
16661.9037769,6.24846541019,-6432.19863741,9.40688484795
13519.378399,5.99675757761,-3479.28161604,7.947822296
15469.6024612,6.11116892321,-5311.83637259,8.85330389278
9471.72554775,5.9140524648,324.150835272,6.06851250895
20483.9141732,5.9342317207,-10023.6030648,11.1814297034
9961.04940776,6.10314403817,-135.649033131,6.29570371158
8380.37826351,5.94616505234,1349.65026149,5.56180412567
15033.5331373,6.46109055529,-4902.07785857,8.65083856821
19967.9069534,5.63488146063,-9538.72981186,10.9418495186
13402.3348971,5.9911035366,-3369.30008609,7.8934794443
8322.06940242,5.95724361189,1404.4409816,5.53473154377
9081.97129703,6.16453649095,690.388756285,5.88755109628
7869.48341806,5.90192867722,1829.71960186,5.32459759673
11549.9101379,6.16214796529,-1628.64378436,7.03340569102
8991.66031785,6.32418894794,775.250705057,5.84562005297
11919.7468751,6.3252068532,-1976.16594089,7.20511947807
9302.19990063,6.17922402762,483.447931954,5.98980239731
12064.9513135,5.9371202817,-2112.60928066,7.27253734524
9783.70960884,5.76724622562,30.9907383392,6.21336551906
20688.8664756,6.20864450555,-10216.1893035,11.2765882761
8066.54400883,5.94705952935,1644.54891818,5.41609207773
8732.8897403,6.25910229793,1018.4080232,5.72547386038
11418.7530727,5.63535338822,-1505.40025126,6.97250996567
15509.8535967,6.16082759291,-5349.65890348,8.87199234154
10423.4979457,5.88060701458,-570.195137007,6.51041680466
12653.5263015,5.98058900863,-2665.67183112,7.5458104682
17368.915801,5.87082427715,-7096.55217139,9.73514783525
9957.15440536,6.11540603088,-131.989040764,6.29389527682
11468.3489928,5.84061405452,-1552.00373705,6.99553716231
11718.162584,6.19064519286,-1786.74450021,7.11152466025
18454.5787741,6.24333961373,-8116.71025673,10.2392170145
19287.7228483,6.16105947073,-8899.58549949,10.6260426318
17806.6576288,6.18503419144,-7507.88227654,9.93838969697
17687.0306706,6.44559689089,-7395.4731665,9.88284735637
18134.9176356,5.8604860366,-7816.33628886,10.0907995666
13264.8994857,6.02474060148,-3240.15701892,7.82966870672
12589.6391816,5.87219610918,-2605.63942366,7.51614792198
17730.5518972,6.0024734323,-7436.36848329,9.90305409596
8110.46616546,5.74297125247,1603.276862,5.43648496759
12479.4506022,5.7233930514,-2502.09921553,7.46498778466
8759.65953446,6.31369157693,993.25341939,5.73790297375
14682.1899558,6.0440183285,-4571.93342493,8.48771126854
7723.92164446,5.81243668442,1966.49871651,5.25701382021
20107.5258897,5.91497584108,-9669.92465803,11.0066740584
11313.6526935,6.22160655749,-1406.64124013,6.9237122603
11727.1266897,6.08522168417,-1795.16774492,7.11568666035
10529.5643093,6.20583799771,-669.861848604,6.55966301291
20522.5807576,5.93331096361,-10059.9366506,11.1993824512
8388.76041146,5.8536581877,1341.77386134,5.56569592501
10782.5787286,6.16692384145,-907.610313725,6.67713664313
