Unit Name,Capacity (Mwe),Constructor Experience (Reactor-Years),Construction Start Date,Commercial Operation Date,Realized Costs (Mixed Current Dollars),Realized Costs (Constant 1982 dollars),Location: south or southwest,Location: west,Utility construction manager,Single Unit,Cooling tower,Est Completion Date at 0%,Est Completion Date at 25%,Est Completion Date at 50%,Est Completion Date at 75%,Est Completion Date at 90%,Est Overnight Cost at 0%,Est Overnight Cost at 25%,Est Overnight Cost at 50%,Est Overnight Cost at 75%,Est Overnight Cost at 90%,,Est Overnight cost at 0% ($/kW),Est Overnight cost at 25% ($/kW),Est Overnight cost at 50% ($/kW),Est Overnight cost at 75% ($/kW),Est Overnight cost at 90% ($/kW),Realized costs at 100% ($/kW),cesc025,cesc2550,cesc5075,cesc7590,cesc90100
Fermi 2,1093,77,07/15/1970,06/15/1985,3371000,2842054,0,0,0,1,0,02/15/1974,04/15/1976,12/15/1980,12/15/1980,11/15/1983,447882,688848,924793,1266638,1735990,,409.773101555352,630.23604757548,846.105215004575,1158.86367795059,1588.27996340348,2600.23238792315,53.8012244296489%,34.2521136738439%,36.9644882692667%,37.0549438750456%,63.7137310698794%
Fort Calhoun 1,478,6,02/01/1968,09/15/1973,174323,390795,0,0,0,1,1,05/01/1971,05/01/1971,06/01/1972,11/01/1972,05/01/1973,166771,214404,274367,306043,369769,,348.893305439331,448.543933054393,573.989539748954,640.257322175732,773.575313807531,817.562761506276,28.561920237931%,27.9672953862801%,11.5451202221842%,20.8225641494823%,5.68625276862041%
Grand Gulf 1,1250,335,04/01/1974,06/15/1985,3139950,2609000,1,0,0,1,0,09/01/1979,06/01/1980,04/01/1981,04/01/1981,04/01/1981,830459,751865,938896,1823418,1827154,,664.3672,601.492,751.1168,1458.7344,1461.7232,2087.2,-9.46392296308428%,24.8756093181622%,94.208730253404%,0.204889937469073%,42.7903723495666%
Harris 1,900,78,01/01/1974,09/15/1986,3411272,3004815,1,0,0,1,0,03/15/1978,03/15/1984,09/15/1985,03/15/1986,09/15/1986,674532,709920,1227058,2194440,3004815,,749.48,788.8,1363.39777777778,2438.26666666667,3338.68333333333,3338.68333333333,5.24630410417889%,72.8445458643227%,78.8375121632393%,36.92855580467%,0%
Hope Creek 1,1067,341,03/01/1976,12/15/1986,3756000,3454272,0,0,0,1,0,12/15/1982,12/15/1986,12/15/1986,12/15/1986,12/15/1986,1195824,1561891,2239658,3569532,3454272,,1120.73477038426,1463.81537019681,2099.02343017807,3345.3908153702,3237.36832239925,3237.36832239925,30.6121134882725%,43.3940012459256%,59.3784408155174%,-3.22899472535896%,0%
Indian Point 3,965,8,09/01/1967,08/30/1976,383000,645442,0,0,0,0,1,06/01/1971,05/01/1973,12/01/1973,10/01/1974,06/01/1975,358539,309159,487120,616325,709204,,371.543005181347,320.372020725389,504.787564766839,638.678756476684,734.926424870466,668.851813471503,-13.7725603072469%,57.5629368706717%,26.5242650681557%,15.069808948201%,-8.99064303077817%
Joseph M. Farley 1,829,26,08/01/1970,12/01/1977,686386,1098921,1,0,0,1,0,04/01/1975,04/01/1975,12/01/1975,02/01/1976,06/01/1977,291068,475844,509924,892496,1096320,,351.107358262967,573.997587454765,615.107358262967,1076.59348612787,1322.46079613993,1325.59831121834,63.4820729176687%,7.16201107926126%,75.0252978875284%,22.8375253222423%,0.23724824868651%
Joseph M. Farley 2,829,54,10/01/1970,07/30/1981,780879,922643,1,0,0,0,0,04/01/1977,01/01/1977,04/01/1980,04/01/1980,09/01/1980,305044,519835,737962,854473,836780,,367.966224366707,627.062726176116,890.183353437877,1030.72738238842,1009.38480096502,1112.958986731,70.4131207301242%,41.9608144892129%,15.7882113171139%,-2.07063301005414%,10.2611200076484%
Kewaunee,535,7,12/01/1967,06/16/1974,201221,420274,0,0,0,1,1,06/01/1972,09/01/1972,09/01/1972,12/01/1972,06/01/1973,223427,252119,244376,337611,382693,,417.620560747664,471.25046728972,456.777570093458,631.048598130841,715.314018691589,785.558878504673,12.8417782989522%,-3.07116877347601%,38.1522735456837%,13.3532378980543%,9.82014303893721%
LaSalle 1,1078,99,10/01/1973,01/15/1984,1342888,1441325,0,0,1,1,0,12/01/1978,12/01/1978,09/01/1979,09/01/1979,12/01/1980,536848,587409,628759,1032214,1198639,,498.003710575139,544.906307977737,583.264378478664,957.526901669759,1111.91001855288,1337.03617810761,9.41812207552231%,7.03938822864477%,64.1668747485126%,16.1231101302637%,20.2467965751156%
LaSalle 2,1078,99,10/15/1973,06/15/1984,1028929,942595,0,0,1,0,0,05/15/1979,10/15/1979,09/15/1980,12/15/1981,10/15/1983,399488,436379,506928,800870,998725,,370.582560296846,404.80426716141,470.248608534323,742.922077922078,926.461038961039,874.392393320965,9.23457024991989%,16.166909956712%,57.9849603888521%,24.70500830347%,-5.62016571128189%
Limerick 1,1055,335,07/15/1970,08/15/1985,3857000,2990034,0,0,0,1,0,03/15/1975,04/15/1983,04/15/1983,04/15/1985,04/15/1985,691836,943074,1294899,2194790,2309235,,655.768720379147,893.909004739337,1227.39241706161,2080.36966824645,2188.84834123223,2834.15545023697,36.314675732399%,37.306192303043%,69.4950725886729%,5.21439408781706%,29.4815815627253%
