Unit Name,Capacity (Mwe),Constructor Experience (Reactor-Years),Construction Start Date,Commercial Operation Date,Realized Costs (Mixed Current Dollars),Realized Costs (Constant 1982 dollars),Location: south or southwest,Location: west,Utility construction manager,Single Unit,Cooling tower,Est Completion Date at 0%,Est Completion Date at 25%,Est Completion Date at 50%,Est Completion Date at 75%,Est Completion Date at 90%,Est Overnight Cost at 0%,Est Overnight Cost at 25%,Est Overnight Cost at 50%,Est Overnight Cost at 75%,Est Overnight Cost at 90%,Est Overnight cost at 0% ($/kW),Est Overnight cost at 25% ($/kW),Est Overnight cost at 50% ($/kW),Est Overnight cost at 75% ($/kW),Est Overnight cost at 90% ($/kW),Realized costs at 100% ($/kW),cesc025,cesc2550,cesc5075,cesc7590,cesc90100,sesc025,sesc2550,sesc5075,sesc7590,sesc90100,fcesc025,fcesc2550,fcesc5075,fcesc7590,fcesc90100,fsesc025,fsesc2550,fsesc5075,fsesc7590,fsesc90100,sescor025,sescor2550,sescor5075,sescor7590,sescor90100
Diablo Canyon 1,1084,33,06/01/1968,04/15/1985,3226000,2817185,0,1,1,1,1,01/01/1973,05/01/1974,03/01/1975,09/01/1975,05/01/1976,334231,628826,584131,853158,820564,308.3311808118,580.0977859779,538.8662361624,787.0461254613,756.9778597786,2598.8791512915,0.8814113592,-0.0710768957,0.4605593608,-0.0382039435,2.433230071,0.2895522388,0.1407407407,0.0746753247,0.0917673716,1.1314424075,0.328462938,0.1417407407,0.1430472623,0.0927673716,1.1324424075,2.0325334595,1.2114977129,0.72999757,0.3975647854,2.2728848149,0.2895522388,0.1407407407,0.0746753247,0.0917673716,
Diablo Canyon 2,1106,33,03/01/1971,08/15/1985,2113600,1752767,0,1,1,0,1,05/01/1975,03/01/1976,03/01/1977,01/01/1977,01/01/1978,344988,486123,579454,795578,853864,311.9240506329,439.5325497288,523.9186256781,719.3291139241,772.0289330922,1584.7802893309,0.4091011861,0.1919905045,0.3729787006,0.0732624582,1.0527472759,0.2003942181,0.1997810619,-0.0269160584,0.1711204876,1.114091273,0.2393049174,0.2007810619,0.0414558792,0.1721204876,1.115091273,1.9433754388,1.270538034,0.6284061869,0.4769179014,2.238182546,0.2003942181,0.1997810619,-0.0269160584,0.1711204876,
Donald C. Cook 1,1054,14,09/01/1968,08/23/1975,536000,978601,0,0,0,1,1,04/01/1972,03/01/1973,10/01/1973,04/01/1975,,493711,682696,787520,833314,,468.4165085389,647.7191650854,747.1726755218,790.6204933586,0,928.4639468691,0.3827846655,0.1535441836,0.0581496343,,,0.255351682,0.1303288672,0.2947198276,,,0.2942623812,0.1313288672,0.3630917652,0.001,0.001,1.9983329026,1.2010858393,0.9500420729,0.3057974138,0.6107039499,0.255351682,0.1303288672,0.2947198276,0,0
Duane Arnold,538,163,10/01/1969,02/01/1975,287142,537893,0,0,0,1,0,12/01/1973,12/01/1973,12/01/1973,01/01/1974,01/01/1974,255153,278723,333565,437074,408183,474.2620817844,518.0724907063,620.0092936803,812.405204461,758.7044609665,999.8011152416,0.092375947,0.1967616594,0.3103113336,-0.0661009349,0.3177741356,0,0,0.0203679369,0,0.2549903413,0.0389106992,0.001,0.0887398746,0.001,0.2559903413,1.7429812207,1.0707569721,0.6756901822,0.3057974138,0.8656942912,0,0,0.0203679369,0,0.2549903413
Edwin I. Hatch 1,777,15,09/01/1968,12/31/1975,365137,714341,1,0,1,1,0,06/01/1973,04/01/1973,04/01/1973,04/01/1974,04/01/1974,313101,384334,381654,596799,660393,402.9613899614,494.6383526384,491.1891891892,768.0810810811,849.9266409266,919.3577863578,0.2275080565,-0.0069731015,0.5637173985,0.1065584895,0.0816907508,-0.0351787774,0,0.2181709504,0,0.3135426889,0.0037319218,0.001,0.286542888,0.001,0.3145426889,1.7078024433,1.0707569721,0.8734931957,0.3057974138,0.9242466389,-0.0351787774,0,0.2181709504,0,0.3135426889
Edwin I. Hatch 2,784,27,11/01/1971,09/05/1979,511000,693055,1,0,1,0,0,04/01/1978,04/01/1978,04/01/1979,04/01/1979,04/01/1979,490764,670095,622609,740086,752501,625.9744897959,854.7130102041,794.1441326531,943.987244898,959.8227040816,883.9987244898,0.3654118884,-0.0708645789,0.1886850335,0.0167750775,-0.0789979017,0,0.155783184,0,0,0.0579763663,0.0389106992,0.156783184,0.0683719376,0.001,0.0589763663,1.7429812207,1.2265401561,0.6553222453,0.3057974138,0.6686803163,0,0.155783184,0,0,0.0579763663
Fermi 2,1093,77,07/15/1970,06/15/1985,3371000,2842054,0,0,0,1,0,02/15/1974,04/15/1976,12/15/1980,12/15/1980,11/15/1983,447882,688848,924793,1266638,1735990,409.7731015554,630.2360475755,846.1052150046,1158.8636779506,1588.2799634035,2600.2323879232,0.5380122443,0.3425211367,0.3696448827,0.3705494388,0.6371373107,0.6025934401,0.8115183246,0,0.2798213347,0.1186614658,0.6415041394,0.8125183246,0.0683719376,0.2808213347,0.1196614658,2.3455746608,1.8822752967,0.6553222453,0.5856187485,0.7293654158,0.6025934401,0.8115183246,0,0.2798213347,0.1186614658
Fort Calhoun 1,478,6,02/01/1968,09/15/1973,174323,390795,0,0,0,1,1,05/01/1971,05/01/1971,06/01/1972,11/01/1972,05/01/1973,166771,214404,274367,306043,369769,348.8933054393,448.5439330544,573.989539749,640.2573221757,773.5753138075,817.5627615063,0.2856192024,0.2796729539,0.1154512022,0.2082256415,0.0568625277,0,0.335021097,0.0967130215,0.1043227666,0.0715031315,0.0389106992,0.336021097,0.1650849591,0.1053227666,0.0725031315,1.7429812207,1.4057780692,0.7520352668,0.4101201804,0.6822070815,0,0.335021097,0.0967130215,0.1043227666,0.0715031315
Grand Gulf 1,1250,335,04/01/1974,06/15/1985,3139950,2609000,1,0,0,1,0,09/01/1979,06/01/1980,04/01/1981,04/01/1981,04/01/1981,830459,751865,938896,1823418,1827154,664.3672,601.492,751.1168,1458.7344,1461.7232,2087.2,-0.0946392296,0.2487560932,0.9420873025,0.0020488994,0.4279037235,0.1384537645,0.1349312028,0,0,0.6007039499,0.1773644638,0.1359312028,0.0683719376,0.001,0.6017039499,1.8814349852,1.205688175,0.6553222453,0.3057974138,1.2114078999,0.1384537645,0.1349312028,0,0,0.6007039499
Harris 1,900,78,01/01/1974,09/15/1986,3411272,3004815,1,0,0,1,0,03/15/1978,03/15/1984,09/15/1985,03/15/1986,09/15/1986,674532,709920,1227058,2194440,3004815,749.48,788.8,1363.3977777778,2438.2666666667,3338.6833333333,3338.6833333333,0.052463041,0.7284454586,0.7883751216,0.369285558,0,1.4289439374,0.1473429952,0.0423391813,0.0412926391,0,1.4678546367,0.1483429952,0.1107111189,0.0422926391,0.001,3.1719251581,1.2180999673,0.6976614266,0.3470900529,0.5104321521,,0.1473429952,0.0423391813,0.0412926391,0
